iter	Passed	Remaining
0	145	145673
1	157	78359
2	166	55297
3	173	43090
4	178	35510
5	183	30418
6	187	26649
7	191	23777
8	195	21497
9	198	19688
10	202	18165
11	205	16904
12	208	15831
13	211	14922
14	215	14145
15	218	13459
16	222	12885
17	226	12341
18	229	11864
19	232	11416
20	236	11012
21	239	10642
22	242	10306
23	245	9988
24	248	9699
25	251	9429
26	254	9183
27	258	8956
28	260	8737
29	263	8535
30	267	8347
31	270	8175
32	273	8010
33	276	7854
34	279	7707
35	282	7566
36	285	7432
37	288	7309
38	291	7189
39	294	7073
40	297	6967
41	300	6863
42	303	6765
43	307	6677
44	310	6585
45	313	6503
46	316	6425
47	319	6345
48	323	6269
49	326	6196
50	329	6127
51	332	6061
52	335	5994
53	338	5930
54	341	5869
55	344	5811
56	347	5756
57	350	5700
58	353	5645
59	357	5594
60	360	5542
61	363	5494
62	366	5452
63	369	5407
64	372	5364
65	375	5319
66	378	5276
67	382	5235
68	385	5196
69	387	5149
70	390	5111
71	393	5074
72	396	5038
73	399	5001
74	402	4965
75	405	4931
76	408	4899
77	411	4866
78	414	4834
79	417	4806
80	420	4776
81	424	4748
82	427	4719
83	430	4691
84	433	4664
85	436	4638
86	439	4611
87	442	4586
88	445	4561
89	448	4537
90	451	4513
91	454	4490
92	458	4467
93	460	4442
94	464	4420
95	467	4400
96	470	4384
97	474	4364
98	477	4345
99	480	4325
100	483	4307
101	488	4296
102	491	4278
103	494	4258
104	497	4244
105	501	4227
106	504	4210
107	508	4196
108	511	4180
109	515	4174
110	519	4162
111	523	4147
112	526	4135
113	530	4124
114	534	4115
115	538	4103
116	542	4093
117	545	4080
118	549	4066
119	553	4057
120	556	4044
121	560	4034
122	564	4026
123	568	4017
124	572	4008
125	576	3996
126	580	3987
127	583	3977
128	587	3964
129	591	3955
130	594	3943
131	597	3930
132	601	3919
133	604	3908
134	608	3897
135	611	3885
136	615	3876
137	618	3864
138	622	3854
139	625	3844
140	629	3836
141	633	3828
142	637	3818
143	640	3808
144	644	3798
145	647	3789
146	651	3781
147	655	3771
148	658	3762
149	662	3752
150	665	3740
151	668	3730
152	672	3720
153	675	3710
154	678	3699
155	682	3690
156	685	3680
157	688	3669
158	691	3660
159	695	3650
160	698	3640
161	701	3630
162	705	3621
163	708	3613
164	712	3603
165	715	3596
166	719	3586
167	722	3578
168	726	3569
169	729	3562
170	732	3553
171	736	3545
172	739	3536
173	743	3528
174	746	3519
175	749	3510
176	753	3501
177	756	3493
178	760	3487
179	763	3479
180	767	3471
181	770	3462
182	773	3453
183	777	3447
184	780	3440
185	784	3432
186	787	3424
187	790	3415
188	794	3407
189	797	3399
190	800	3390
191	803	3383
192	807	3376
193	810	3368
194	814	3360
195	817	3353
196	820	3345
197	824	3337
198	827	3329
199	830	3322
200	833	3315
201	837	3307
202	840	3301
203	844	3295
204	847	3288
205	851	3283
206	855	3277
207	858	3270
208	862	3263
209	865	3256
210	869	3250
211	873	3247
212	877	3242
213	881	3237
214	885	3232
215	888	3225
216	892	3219
217	895	3212
218	899	3206
219	902	3199
220	905	3192
221	908	3185
222	912	3178
223	916	3173
224	919	3166
225	922	3160
226	926	3154
227	929	3147
228	932	3140
229	935	3133
230	939	3126
231	942	3118
232	945	3111
233	948	3103
234	950	3095
235	953	3087
236	956	3078
237	959	3071
238	962	3063
239	964	3055
240	967	3047
241	970	3039
242	973	3031
243	976	3024
244	978	3016
245	981	3008
246	984	3002
247	987	2994
248	990	2987
249	993	2979
250	995	2971
251	998	2964
252	1001	2957
253	1004	2950
254	1007	2943
255	1010	2935
256	1012	2928
257	1015	2921
258	1018	2914
259	1021	2907
260	1024	2899
261	1026	2892
262	1029	2885
263	1032	2877
264	1035	2870
265	1037	2863
266	1040	2856
267	1043	2849
268	1045	2842
269	1048	2835
270	1051	2828
271	1054	2822
272	1057	2815
273	1059	2808
274	1062	2801
275	1065	2794
276	1068	2788
277	1071	2784
278	1074	2777
279	1077	2770
280	1080	2763
281	1083	2758
282	1086	2752
283	1089	2745
284	1091	2739
285	1094	2732
286	1097	2726
287	1100	2719
288	1102	2713
289	1105	2706
290	1108	2700
291	1111	2694
292	1114	2689
293	1117	2682
294	1119	2676
295	1122	2670
296	1125	2663
297	1128	2657
298	1131	2652
299	1134	2646
300	1136	2640
301	1139	2634
302	1142	2628
303	1146	2623
304	1149	2618
305	1152	2613
306	1155	2609
307	1159	2604
308	1162	2598
309	1165	2593
310	1168	2588
311	1171	2583
312	1174	2578
313	1177	2573
314	1181	2568
315	1184	2563
316	1187	2558
317	1190	2553
318	1193	2548
319	1197	2543
320	1200	2539
321	1203	2534
322	1206	2529
323	1210	2525
324	1213	2520
325	1216	2514
326	1219	2509
327	1221	2503
328	1224	2498
329	1228	2493
330	1230	2487
331	1233	2482
332	1236	2476
333	1239	2471
334	1242	2466
335	1245	2461
336	1248	2456
337	1251	2451
338	1254	2445
339	1257	2440
340	1260	2435
341	1263	2430
342	1265	2424
343	1268	2419
344	1271	2414
345	1274	2408
346	1277	2403
347	1280	2398
348	1283	2393
349	1286	2388
350	1288	2382
351	1291	2378
352	1295	2373
353	1297	2368
354	1300	2363
355	1303	2358
356	1306	2353
357	1309	2349
358	1313	2344
359	1316	2340
360	1319	2335
361	1322	2330
362	1325	2326
363	1328	2321
364	1331	2317
365	1334	2312
366	1337	2307
367	1340	2302
368	1344	2299
369	1348	2295
370	1351	2290
371	1353	2285
372	1356	2281
373	1360	2276
374	1363	2272
375	1366	2268
376	1369	2263
377	1372	2259
378	1376	2254
379	1379	2249
380	1382	2245
381	1384	2240
382	1388	2236
383	1391	2231
384	1394	2227
385	1397	2222
386	1400	2218
387	1404	2214
388	1407	2210
389	1410	2206
390	1413	2201
391	1417	2197
392	1419	2193
393	1423	2188
394	1426	2185
395	1429	2180
396	1432	2176
397	1435	2171
398	1438	2167
399	1442	2163
400	1445	2159
401	1448	2155
402	1452	2151
403	1455	2147
404	1459	2143
405	1462	2139
406	1465	2135
407	1468	2131
408	1472	2127
409	1476	2124
410	1479	2119
411	1495	2134
412	1498	2129
413	1501	2124
414	1504	2120
415	1507	2116
416	1511	2113
417	1514	2108
418	1517	2104
419	1520	2100
420	1524	2096
421	1527	2092
422	1530	2088
423	1534	2084
424	1537	2080
425	1540	2076
426	1544	2072
427	1547	2068
428	1550	2064
429	1554	2060
430	1557	2055
431	1560	2051
432	1563	2047
433	1566	2042
434	1569	2039
435	1572	2034
436	1576	2030
437	1579	2026
438	1582	2021
439	1585	2018
440	1588	2014
441	1592	2010
442	1595	2005
443	1598	2001
444	1600	1996
445	1603	1992
446	1606	1987
447	1609	1983
448	1612	1978
449	1615	1974
450	1618	1970
451	1621	1965
452	1624	1961
453	1626	1956
454	1629	1952
455	1632	1947
456	1635	1943
457	1638	1938
458	1641	1934
459	1643	1929
460	1646	1925
461	1649	1920
462	1652	1916
463	1654	1911
464	1657	1907
465	1660	1902
466	1663	1898
467	1665	1893
468	1668	1889
469	1671	1884
470	1674	1880
471	1676	1875
472	1679	1871
473	1682	1867
474	1685	1862
475	1688	1858
476	1691	1854
477	1693	1849
478	1696	1845
479	1699	1840
480	1702	1836
481	1705	1832
482	1708	1828
483	1710	1823
484	1713	1819
485	1716	1815
486	1719	1811
487	1722	1807
488	1725	1802
489	1728	1799
490	1731	1794
491	1734	1790
492	1737	1786
493	1740	1782
494	1743	1778
495	1746	1774
496	1748	1770
497	1751	1765
498	1754	1761
499	1757	1757
500	1760	1753
501	1763	1749
502	1766	1745
503	1769	1741
504	1771	1736
505	1774	1732
506	1777	1728
507	1780	1724
508	1783	1720
509	1786	1716
510	1789	1712
511	1792	1708
512	1795	1704
513	1798	1700
514	1801	1696
515	1803	1691
516	1806	1687
517	1809	1684
518	1812	1679
519	1815	1675
520	1818	1671
521	1821	1667
522	1824	1663
523	1827	1659
524	1829	1655
525	1832	1651
526	1835	1647
527	1838	1643
528	1841	1639
529	1844	1635
530	1847	1631
531	1850	1627
532	1853	1623
533	1856	1620
534	1859	1616
535	1862	1612
536	1866	1608
537	1868	1604
538	1871	1600
539	1874	1596
540	1877	1592
541	1880	1588
542	1883	1585
543	1886	1580
544	1888	1577
545	1892	1573
546	1894	1569
547	1897	1565
